HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA05000776		
		LMFA12000399		
		LMFA12000400		
		LMFA12000401		
		LMFA02010020		iso-12-oxo-PDA
		LMFA10000017		(1'Z)Colnelenic acid
		LMFA07010570		2-Methylbutyl butyrate
		LMFA05000763		
		LMFA05000764		
		LMFA05000765		
		LMFA05000766		
		LMFA05000767		
		LMFA05000769		
		LMFA05000770		
		LMFA05000771		
		LMFA05000772		
		LMFA05000773		
		LMFA05000774		
		LMFA05000775		
		LMFA09000022		Albanitrile A
		LMFA05000746		
		LMFA01031275		
		LMFA01031276		
		LMFA01170160		
		LMFA01031277		Oropheic acid
		LMFA01050599		Haliclonyne
		LMFA01030213		6E,8E-decadienoic acid
		LMFA02000393		
		LMFA01031274		
		LMFA07010301		3E,8Z-Tetradecadienyl acetate
		LMFA07010630		(Z)-2-Nonenyl propionate
		LMFA07011181		
		LMFA03000034		
		LMFA11000030		7S-Methylheptadecane
		LMFA07010667		SFE 2:0(1Me)/12:1(7Z)
		LMFA07010307		SFE 14:1(10Z)/2:0
		LMFA07010286		SFE 14:1(12E)/2:0
		LMFA07010263		SFE 13:1(11E)/2:0
		LMFA07010344		5E-Hexadecenyl acetate
		LMFA07010346		8E-Hexadecenyl acetate
		LMFA07010393		SFE 18:2(3Z,13Z)/2:0
		LMFA07010339		SFE 15:1(9Z)/2:0
		LMFA07010338		SFE 15:1(8Z)/2:0
		LMFA07010376		SFE 16:1(8Z,10Z)/2:0
		LMFA07010226		SFE 12:1(7E)/2:0
		LMFA07010241		SFE 12:1(10Z)/2:0
		LMFA07010323		SFE 14:2(10Z,12Z)/2:0
		LMFA07010375		7Z,11Z-Hexadecadienyl acetate
		LMFA07010473		Methyl heptadecanoate
		LMFA07010495		Methyl 7E-hexadecenoate
		LMFA07010231		4E,10E-Dodecadienyl acetate
		LMFA07010331		Tetradecyl acetate
		LMFA07010345		6E-Hexadecenyl acetate
		LMFA07010476		ethyl docosenyl
		LMFA07010423		SFE 11:0/4:0
		LMFA07010581		SFE 4:1(2E)/4:0
		LMFA07010603		SFE 8:1(2E)/4:0
		LMFA07010361		SFE 16:1(10Z)/2:0
		LMFA07010175		SFE 1:0/21:2(2Z,3Me)
		LMFA07010223		SFE 12:1(3E)/2:0
		LMFA07010308		SFE 14:2(11Z,13)/2:0
		LMFA07010653		Isopropyl octanoate 
		LMFA07010292		9E,11-Tetradecadienyl acetate
		LMFA07010482		Methyl 2E,4Z,6Z-decatrienoate
		LMFA03000033		
		LMFA07010290		7E-Tetradecenyl acetate
		LMFA07010429		octadecyl butyrate
		LMFA07010527		SFE 1:0/16:1(8)(14Me)
		LMFA07010622		SFE 8:2(2E,7E)(3Me,7Me)/3:0
		LMFA07010216		SFE 11:1(7Z)/2:0
		LMFA07010229		SFE 12:1(9E)/2:0
		LMFA07010670		SFE 2:0(1Me)/16:1(9Z)
		LMFA07010431		docosenyl butyrate
		LMFA07010337		12Z-Pentadecenyl acetate
		LMFA07010248		9Z-Dodecenyl acetate
		LMFA07010551		(Z)-8-Tetradecenyl formate
		LMFA07010606		3,7-Dimethyl-6-octenyl formate
		LMFA07010366		5Z-Hexadecenyl acetate
		LMFA07010490		SFE 1:0/14:1(5Z)
		LMFA07010432		SFE 24:0/4:0
		LMFA07010296		SFE 14:2(8E,10E)/2:0
		LMFA07010409		SFE 12:0/1:0
		LMFA07010298		SFE 14:2(10E,12Z)/2:0
		LMFA07010316		SFE 14:1(9Z)/2:0
