compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
CL(8:0/11:0/i-13:0/i-19:0)	HMDB0118192			
CL(8:0/11:0/i-13:0/20:0)	HMDB0118193			
CL(8:0/11:0/i-13:0/i-20:0)	HMDB0118194			
CL(8:0/11:0/i-13:0/21:0)	HMDB0118195			
CL(8:0/11:0/i-13:0/a-21:0)	HMDB0118196			
CL(8:0/11:0/i-13:0/i-21:0)	HMDB0118197			
CL(8:0/11:0/i-13:0/22:0)	HMDB0118198			
CL(8:0/11:0/i-13:0/i-22:0)	HMDB0118199			
CL(8:0/11:0/i-13:0/23:0)	HMDB0118200			
CL(8:0/11:0/i-13:0/24:0)	HMDB0118201			
CL(8:0/11:0/i-13:0/i-24:0)	HMDB0118202			
CL(8:0/11:0/i-13:0/25:0)	HMDB0118203			
CL(8:0/11:0/i-13:0/a-25:0)	HMDB0118204			
CL(8:0/11:0/14:0/14:0)	HMDB0118205			
CL(8:0/11:0/14:0/i-14:0)	HMDB0118206			
CL(8:0/11:0/14:0/15:0)	HMDB0118207			
CL(8:0/11:0/14:0/a-15:0)	HMDB0118208			
CL(8:0/11:0/14:0/i-15:0)	HMDB0118209			
CL(8:0/11:0/14:0/16:0)	HMDB0118210			
CL(8:0/11:0/14:0/i-16:0)	HMDB0118211			
CL(8:0/11:0/14:0/17:0)	HMDB0118212			
CL(8:0/11:0/14:0/a-17:0)	HMDB0118213			
CL(8:0/11:0/14:0/i-17:0)	HMDB0118214			
CL(8:0/11:0/14:0/18:0)	HMDB0118215			
CL(8:0/11:0/14:0/i-18:0)	HMDB0118216			
CL(8:0/11:0/14:0/18:2(9Z,11Z))	HMDB0118217			
CL(8:0/11:0/14:0/19:0)	HMDB0118218			
CL(8:0/11:0/14:0/i-19:0)	HMDB0118219			
CL(8:0/11:0/14:0/20:0)	HMDB0118220			
CL(8:0/11:0/14:0/i-20:0)	HMDB0118221			
CL(8:0/11:0/14:0/21:0)	HMDB0118222			
CL(8:0/11:0/14:0/a-21:0)	HMDB0118223			
CL(8:0/11:0/14:0/i-21:0)	HMDB0118224			
CL(8:0/11:0/14:0/22:0)	HMDB0118225			
CL(8:0/11:0/14:0/i-22:0)	HMDB0118226			
CL(8:0/11:0/14:0/23:0)	HMDB0118227			
CL(8:0/11:0/14:0/24:0)	HMDB0118228			
CL(8:0/11:0/14:0/i-24:0)	HMDB0118229			
CL(8:0/11:0/14:0/25:0)	HMDB0118230			
CL(8:0/11:0/14:0/a-25:0)	HMDB0118231			
CL(8:0/11:0/i-14:0/i-14:0)	HMDB0118232			
CL(8:0/11:0/i-14:0/15:0)	HMDB0118233			
CL(8:0/11:0/i-14:0/a-15:0)	HMDB0118234			
CL(8:0/11:0/i-14:0/i-15:0)	HMDB0118235			
CL(8:0/11:0/i-14:0/16:0)	HMDB0118236			
CL(8:0/11:0/i-14:0/i-16:0)	HMDB0118237			
CL(8:0/11:0/i-14:0/17:0)	HMDB0118238			
CL(8:0/11:0/i-14:0/a-17:0)	HMDB0118239			
CL(8:0/11:0/i-14:0/i-17:0)	HMDB0118240			
CL(8:0/11:0/i-14:0/18:0)	HMDB0118241			
CL(8:0/11:0/i-14:0/i-18:0)	HMDB0118242			
CL(8:0/11:0/i-14:0/18:2(9Z,11Z))	HMDB0118243			
CL(8:0/11:0/i-14:0/19:0)	HMDB0118244			
CL(8:0/11:0/i-14:0/i-19:0)	HMDB0118245			
CL(8:0/11:0/i-14:0/20:0)	HMDB0118246			
CL(8:0/11:0/i-14:0/i-20:0)	HMDB0118247			
CL(8:0/11:0/i-14:0/21:0)	HMDB0118248			
CL(8:0/11:0/i-14:0/a-21:0)	HMDB0118249			
CL(8:0/11:0/i-14:0/i-21:0)	HMDB0118250			
CL(8:0/11:0/i-14:0/22:0)	HMDB0118251			
CL(8:0/11:0/i-14:0/i-22:0)	HMDB0118252			
CL(8:0/11:0/i-14:0/23:0)	HMDB0118253			
CL(8:0/11:0/i-14:0/24:0)	HMDB0118254			
CL(8:0/11:0/i-14:0/i-24:0)	HMDB0118255			
CL(8:0/11:0/i-14:0/25:0)	HMDB0118256			
CL(8:0/11:0/i-14:0/a-25:0)	HMDB0118257			
CL(8:0/11:0/15:0/15:0)	HMDB0118258			
CL(8:0/11:0/15:0/a-15:0)	HMDB0118259			
CL(8:0/11:0/15:0/i-15:0)	HMDB0118260			
CL(8:0/11:0/15:0/16:0)	HMDB0118261			
CL(8:0/11:0/15:0/i-16:0)	HMDB0118262			
CL(8:0/11:0/15:0/17:0)	HMDB0118263			
CL(8:0/11:0/15:0/a-17:0)	HMDB0118264			
CL(8:0/11:0/15:0/i-17:0)	HMDB0118265			
CL(8:0/11:0/15:0/18:0)	HMDB0118266			
CL(8:0/11:0/15:0/i-18:0)	HMDB0118267			
CL(8:0/11:0/15:0/18:2(9Z,11Z))	HMDB0118268			
CL(8:0/11:0/15:0/19:0)	HMDB0118269			
CL(8:0/11:0/15:0/i-19:0)	HMDB0118270			
CL(8:0/11:0/15:0/20:0)	HMDB0118271			
CL(8:0/11:0/15:0/i-20:0)	HMDB0118272			
CL(8:0/11:0/15:0/21:0)	HMDB0118273			
CL(8:0/11:0/15:0/a-21:0)	HMDB0118274			
CL(8:0/11:0/15:0/i-21:0)	HMDB0118275			
CL(8:0/11:0/15:0/22:0)	HMDB0118276			
CL(8:0/11:0/15:0/i-22:0)	HMDB0118277			
CL(8:0/11:0/15:0/23:0)	HMDB0118278			
CL(8:0/11:0/15:0/24:0)	HMDB0118279			
CL(8:0/11:0/15:0/i-24:0)	HMDB0118280			
CL(8:0/11:0/15:0/25:0)	HMDB0118281			
CL(8:0/11:0/15:0/a-25:0)	HMDB0118282			
CL(8:0/11:0/a-15:0/a-15:0)	HMDB0118283			
CL(8:0/11:0/a-15:0/i-15:0)	HMDB0118284			
CL(8:0/11:0/a-15:0/16:0)	HMDB0118285			
CL(8:0/11:0/a-15:0/i-16:0)	HMDB0118286			
CL(8:0/11:0/a-15:0/17:0)	HMDB0118287			
CL(8:0/11:0/a-15:0/a-17:0)	HMDB0118288			
CL(8:0/11:0/a-15:0/i-17:0)	HMDB0118289			
CL(8:0/11:0/a-15:0/18:0)	HMDB0118290			
CL(8:0/11:0/a-15:0/i-18:0)	HMDB0118291			
CL(8:0/11:0/a-15:0/18:2(9Z,11Z))	HMDB0118292			
CL(8:0/11:0/a-15:0/19:0)	HMDB0118293			
CL(8:0/11:0/a-15:0/i-19:0)	HMDB0118294			
CL(8:0/11:0/a-15:0/20:0)	HMDB0118295			
CL(8:0/11:0/a-15:0/i-20:0)	HMDB0118296			
CL(8:0/11:0/a-15:0/21:0)	HMDB0118297			
CL(8:0/11:0/a-15:0/a-21:0)	HMDB0118298			
CL(8:0/11:0/a-15:0/i-21:0)	HMDB0118299			
CL(8:0/11:0/a-15:0/22:0)	HMDB0118300			
CL(8:0/11:0/a-15:0/i-22:0)	HMDB0118301			
CL(8:0/11:0/a-15:0/23:0)	HMDB0118302			
CL(8:0/11:0/a-15:0/24:0)	HMDB0118303			
CL(8:0/11:0/a-15:0/i-24:0)	HMDB0118304			
CL(8:0/11:0/a-15:0/25:0)	HMDB0118305			
CL(8:0/11:0/a-15:0/a-25:0)	HMDB0118306			
CL(8:0/11:0/i-15:0/i-15:0)	HMDB0118307			
CL(8:0/11:0/i-15:0/16:0)	HMDB0118308			
CL(8:0/11:0/i-15:0/i-16:0)	HMDB0118309			
CL(8:0/11:0/i-15:0/17:0)	HMDB0118310			
CL(8:0/11:0/i-15:0/a-17:0)	HMDB0118311			
CL(8:0/11:0/i-15:0/i-17:0)	HMDB0118312			
CL(8:0/11:0/i-15:0/18:0)	HMDB0118313			
CL(8:0/11:0/i-15:0/i-18:0)	HMDB0118314			
CL(8:0/11:0/i-15:0/18:2(9Z,11Z))	HMDB0118315			
CL(8:0/11:0/i-15:0/19:0)	HMDB0118316			
CL(8:0/11:0/i-15:0/i-19:0)	HMDB0118317			
CL(8:0/11:0/i-15:0/20:0)	HMDB0118318			
CL(8:0/11:0/i-15:0/i-20:0)	HMDB0118319			
CL(8:0/11:0/i-15:0/21:0)	HMDB0118320			
CL(8:0/11:0/i-15:0/a-21:0)	HMDB0118321			
CL(8:0/11:0/i-15:0/i-21:0)	HMDB0118322			
CL(8:0/11:0/i-15:0/22:0)	HMDB0118323			
CL(8:0/11:0/i-15:0/i-22:0)	HMDB0118324			
CL(8:0/11:0/i-15:0/23:0)	HMDB0118325			
CL(8:0/11:0/i-15:0/24:0)	HMDB0118326			
CL(8:0/11:0/i-15:0/i-24:0)	HMDB0118327			
CL(8:0/11:0/i-15:0/25:0)	HMDB0118328			
CL(8:0/11:0/i-15:0/a-25:0)	HMDB0118329			
CL(8:0/11:0/16:0/16:0)	HMDB0118330			
CL(8:0/11:0/16:0/i-16:0)	HMDB0118331			
CL(8:0/11:0/16:0/17:0)	HMDB0118332			
CL(8:0/11:0/16:0/a-17:0)	HMDB0118333			
CL(8:0/11:0/16:0/i-17:0)	HMDB0118334			
CL(8:0/11:0/16:0/18:0)	HMDB0118335			
CL(8:0/11:0/16:0/i-18:0)	HMDB0118336			
CL(8:0/11:0/16:0/18:2(9Z,11Z))	HMDB0118337			
CL(8:0/11:0/16:0/19:0)	HMDB0118338			
CL(8:0/11:0/16:0/i-19:0)	HMDB0118339			
CL(8:0/11:0/16:0/20:0)	HMDB0118340			
CL(8:0/11:0/16:0/i-20:0)	HMDB0118341			
CL(8:0/11:0/16:0/21:0)	HMDB0118342			
CL(8:0/11:0/16:0/a-21:0)	HMDB0118343			
CL(8:0/11:0/16:0/i-21:0)	HMDB0118344			
CL(8:0/11:0/16:0/22:0)	HMDB0118345			
CL(8:0/11:0/16:0/i-22:0)	HMDB0118346			
CL(8:0/11:0/16:0/23:0)	HMDB0118347			
CL(8:0/11:0/16:0/24:0)	HMDB0118348			
CL(8:0/11:0/16:0/i-24:0)	HMDB0118349			
CL(8:0/11:0/16:0/25:0)	HMDB0118350			
CL(8:0/11:0/16:0/a-25:0)	HMDB0118351			
CL(8:0/11:0/i-16:0/i-16:0)	HMDB0118352			
CL(8:0/11:0/i-16:0/17:0)	HMDB0118353			
CL(8:0/11:0/i-16:0/a-17:0)	HMDB0118354			
CL(8:0/11:0/i-16:0/i-17:0)	HMDB0118355			
CL(8:0/11:0/i-16:0/18:0)	HMDB0118356			
CL(8:0/11:0/i-16:0/i-18:0)	HMDB0118357			
CL(8:0/11:0/i-16:0/18:2(9Z,11Z))	HMDB0118358			
CL(8:0/11:0/i-16:0/19:0)	HMDB0118359			
CL(8:0/11:0/i-16:0/i-19:0)	HMDB0118360			
CL(8:0/11:0/i-16:0/20:0)	HMDB0118361			
CL(8:0/11:0/i-16:0/i-20:0)	HMDB0118362			
CL(8:0/11:0/i-16:0/21:0)	HMDB0118363			
CL(8:0/11:0/i-16:0/a-21:0)	HMDB0118364			
CL(8:0/11:0/i-16:0/i-21:0)	HMDB0118365			
CL(8:0/11:0/i-16:0/22:0)	HMDB0118366			
CL(8:0/11:0/i-16:0/i-22:0)	HMDB0118367			
CL(8:0/11:0/i-16:0/23:0)	HMDB0118368			
CL(8:0/11:0/i-16:0/24:0)	HMDB0118369			
CL(8:0/11:0/i-16:0/i-24:0)	HMDB0118370			
CL(8:0/11:0/i-16:0/25:0)	HMDB0118371			
CL(8:0/11:0/i-16:0/a-25:0)	HMDB0118372			
CL(8:0/11:0/17:0/17:0)	HMDB0118373			
CL(8:0/11:0/17:0/a-17:0)	HMDB0118374			
CL(8:0/11:0/17:0/i-17:0)	HMDB0118375			
CL(8:0/11:0/17:0/18:0)	HMDB0118376			
CL(8:0/11:0/17:0/i-18:0)	HMDB0118377			
CL(8:0/11:0/17:0/18:2(9Z,11Z))	HMDB0118378			
CL(8:0/11:0/17:0/19:0)	HMDB0118379			
CL(8:0/11:0/17:0/i-19:0)	HMDB0118380			
CL(8:0/11:0/17:0/20:0)	HMDB0118381			
CL(8:0/11:0/17:0/i-20:0)	HMDB0118382			
CL(8:0/11:0/17:0/21:0)	HMDB0118383			
CL(8:0/11:0/17:0/a-21:0)	HMDB0118384			
CL(8:0/11:0/17:0/i-21:0)	HMDB0118385			
CL(8:0/11:0/17:0/22:0)	HMDB0118386			
CL(8:0/11:0/17:0/i-22:0)	HMDB0118387			
CL(8:0/11:0/17:0/23:0)	HMDB0118388			
CL(8:0/11:0/17:0/24:0)	HMDB0118389			
CL(8:0/11:0/17:0/i-24:0)	HMDB0118390			
CL(8:0/11:0/17:0/25:0)	HMDB0118391			
CL(8:0/11:0/17:0/a-25:0)	HMDB0118392			
CL(8:0/11:0/a-17:0/a-17:0)	HMDB0118393			
CL(8:0/11:0/a-17:0/i-17:0)	HMDB0118394			
CL(8:0/11:0/a-17:0/18:0)	HMDB0118395			
CL(8:0/11:0/a-17:0/i-18:0)	HMDB0118396			
CL(8:0/11:0/a-17:0/18:2(9Z,11Z))	HMDB0118397			
CL(8:0/11:0/a-17:0/19:0)	HMDB0118398			
CL(8:0/11:0/a-17:0/i-19:0)	HMDB0118399			
CL(8:0/11:0/a-17:0/20:0)	HMDB0118400			
CL(8:0/11:0/a-17:0/i-20:0)	HMDB0118401			
CL(8:0/11:0/a-17:0/21:0)	HMDB0118402			
CL(8:0/11:0/a-17:0/a-21:0)	HMDB0118403			
CL(8:0/11:0/a-17:0/i-21:0)	HMDB0118404			
CL(8:0/11:0/a-17:0/22:0)	HMDB0118405			
CL(8:0/11:0/a-17:0/i-22:0)	HMDB0118406			
CL(8:0/11:0/a-17:0/23:0)	HMDB0118407			
CL(8:0/11:0/a-17:0/24:0)	HMDB0118408			
CL(8:0/11:0/a-17:0/i-24:0)	HMDB0118409			
CL(8:0/11:0/a-17:0/25:0)	HMDB0118410			
CL(8:0/11:0/a-17:0/a-25:0)	HMDB0118411			
CL(8:0/11:0/i-17:0/i-17:0)	HMDB0118412			
CL(8:0/11:0/i-17:0/18:0)	HMDB0118413			
CL(8:0/11:0/i-17:0/i-18:0)	HMDB0118414			
CL(8:0/11:0/i-17:0/18:2(9Z,11Z))	HMDB0118415			
CL(8:0/11:0/i-17:0/19:0)	HMDB0118416			
CL(8:0/11:0/i-17:0/i-19:0)	HMDB0118417			
CL(8:0/11:0/i-17:0/20:0)	HMDB0118418			
CL(8:0/11:0/i-17:0/i-20:0)	HMDB0118419			
CL(8:0/11:0/i-17:0/21:0)	HMDB0118420			
CL(8:0/11:0/i-17:0/a-21:0)	HMDB0118421			
CL(8:0/11:0/i-17:0/i-21:0)	HMDB0118422			
CL(8:0/11:0/i-17:0/22:0)	HMDB0118423			
CL(8:0/11:0/i-17:0/i-22:0)	HMDB0118424			
CL(8:0/11:0/i-17:0/23:0)	HMDB0118425			
CL(8:0/11:0/i-17:0/24:0)	HMDB0118426			
CL(8:0/11:0/i-17:0/i-24:0)	HMDB0118427			
CL(8:0/11:0/i-17:0/25:0)	HMDB0118428			
CL(8:0/11:0/i-17:0/a-25:0)	HMDB0118429			
CL(8:0/11:0/18:0/18:0)	HMDB0118430			
CL(8:0/11:0/18:0/i-18:0)	HMDB0118431			
CL(8:0/11:0/18:0/18:2(9Z,11Z))	HMDB0118432			
CL(8:0/11:0/18:0/19:0)	HMDB0118433			
CL(8:0/11:0/18:0/i-19:0)	HMDB0118434			
CL(8:0/11:0/18:0/20:0)	HMDB0118435			
CL(8:0/11:0/18:0/i-20:0)	HMDB0118436			
CL(8:0/11:0/18:0/21:0)	HMDB0118437			
CL(8:0/11:0/18:0/a-21:0)	HMDB0118438			
CL(8:0/11:0/18:0/i-21:0)	HMDB0118439			
CL(8:0/11:0/18:0/22:0)	HMDB0118440			
CL(8:0/11:0/18:0/i-22:0)	HMDB0118441			
CL(8:0/11:0/18:0/23:0)	HMDB0118442			
CL(8:0/11:0/18:0/24:0)	HMDB0118443			
CL(8:0/11:0/18:0/i-24:0)	HMDB0118444			
CL(8:0/11:0/18:0/25:0)	HMDB0118445			
CL(8:0/11:0/18:0/a-25:0)	HMDB0118446			
CL(8:0/11:0/i-18:0/i-18:0)	HMDB0118447			
CL(8:0/11:0/i-18:0/18:2(9Z,11Z))	HMDB0118448			
CL(8:0/11:0/i-18:0/19:0)	HMDB0118449			
CL(8:0/11:0/i-18:0/i-19:0)	HMDB0118450			
CL(8:0/11:0/i-18:0/20:0)	HMDB0118451			
CL(8:0/11:0/i-18:0/i-20:0)	HMDB0118452			
CL(8:0/11:0/i-18:0/21:0)	HMDB0118453			
CL(8:0/11:0/i-18:0/a-21:0)	HMDB0118454			
CL(8:0/11:0/i-18:0/i-21:0)	HMDB0118455			
CL(8:0/11:0/i-18:0/22:0)	HMDB0118456			
CL(8:0/11:0/i-18:0/i-22:0)	HMDB0118457			
CL(8:0/11:0/i-18:0/23:0)	HMDB0118458			
CL(8:0/11:0/i-18:0/24:0)	HMDB0118459			
CL(8:0/11:0/i-18:0/i-24:0)	HMDB0118460			
CL(8:0/11:0/i-18:0/25:0)	HMDB0118461			
CL(8:0/11:0/i-18:0/a-25:0)	HMDB0118462			
CL(8:0/11:0/18:2(9Z,11Z)/18:2(9Z,11Z))	HMDB0118463			
CL(8:0/11:0/18:2(9Z,11Z)/19:0)	HMDB0118464			
CL(8:0/11:0/18:2(9Z,11Z)/i-19:0)	HMDB0118465			
CL(8:0/11:0/18:2(9Z,11Z)/20:0)	HMDB0118466			
CL(8:0/11:0/18:2(9Z,11Z)/i-20:0)	HMDB0118467			
CL(8:0/11:0/18:2(9Z,11Z)/21:0)	HMDB0118468			
CL(8:0/11:0/18:2(9Z,11Z)/a-21:0)	HMDB0118469			
CL(8:0/11:0/18:2(9Z,11Z)/i-21:0)	HMDB0118470			
CL(8:0/11:0/18:2(9Z,11Z)/22:0)	HMDB0118471			
CL(8:0/11:0/18:2(9Z,11Z)/i-22:0)	HMDB0118472			
CL(8:0/11:0/18:2(9Z,11Z)/23:0)	HMDB0118473			
CL(8:0/11:0/18:2(9Z,11Z)/24:0)	HMDB0118474			
CL(8:0/11:0/18:2(9Z,11Z)/i-24:0)	HMDB0118475			
CL(8:0/11:0/18:2(9Z,11Z)/25:0)	HMDB0118476			
CL(8:0/11:0/18:2(9Z,11Z)/a-25:0)	HMDB0118477			
CL(8:0/11:0/19:0/19:0)	HMDB0118478			
CL(8:0/11:0/19:0/i-19:0)	HMDB0118479			
CL(8:0/11:0/19:0/20:0)	HMDB0118480			
CL(8:0/11:0/19:0/i-20:0)	HMDB0118481			
CL(8:0/11:0/19:0/21:0)	HMDB0118482			
CL(8:0/11:0/19:0/a-21:0)	HMDB0118483			
CL(8:0/11:0/19:0/i-21:0)	HMDB0118484			
CL(8:0/11:0/19:0/22:0)	HMDB0118485			
CL(8:0/11:0/19:0/i-22:0)	HMDB0118486			
CL(8:0/11:0/19:0/23:0)	HMDB0118487			
CL(8:0/11:0/19:0/24:0)	HMDB0118488			
CL(8:0/11:0/19:0/i-24:0)	HMDB0118489			
CL(8:0/11:0/19:0/25:0)	HMDB0118490			
CL(8:0/11:0/19:0/a-25:0)	HMDB0118491			
CL(8:0/11:0/i-19:0/i-19:0)	HMDB0118492			
CL(8:0/11:0/i-19:0/20:0)	HMDB0118493			
CL(8:0/11:0/i-19:0/i-20:0)	HMDB0118494			
CL(8:0/11:0/i-19:0/21:0)	HMDB0118495			
CL(8:0/11:0/i-19:0/a-21:0)	HMDB0118496			
CL(8:0/11:0/i-19:0/i-21:0)	HMDB0118497			
CL(8:0/11:0/i-19:0/22:0)	HMDB0118498			
CL(8:0/11:0/i-19:0/i-22:0)	HMDB0118499			
CL(8:0/11:0/i-19:0/23:0)	HMDB0118500			
CL(8:0/11:0/i-19:0/24:0)	HMDB0118501			
CL(8:0/11:0/i-19:0/i-24:0)	HMDB0118502			
CL(8:0/11:0/i-19:0/25:0)	HMDB0118503			
CL(8:0/11:0/i-19:0/a-25:0)	HMDB0118504			
CL(8:0/11:0/20:0/20:0)	HMDB0118505			
CL(8:0/11:0/20:0/i-20:0)	HMDB0118506			
CL(8:0/11:0/20:0/21:0)	HMDB0118507			
CL(8:0/11:0/20:0/a-21:0)	HMDB0118508			
CL(8:0/11:0/20:0/i-21:0)	HMDB0118509			
CL(8:0/11:0/20:0/22:0)	HMDB0118510			
CL(8:0/11:0/20:0/i-22:0)	HMDB0118511			
CL(8:0/11:0/20:0/23:0)	HMDB0118512			
CL(8:0/11:0/20:0/24:0)	HMDB0118513			
CL(8:0/11:0/20:0/i-24:0)	HMDB0118514			
CL(8:0/11:0/20:0/25:0)	HMDB0118515			
CL(8:0/11:0/20:0/a-25:0)	HMDB0118516			
CL(8:0/11:0/i-20:0/i-20:0)	HMDB0118517			
CL(8:0/11:0/i-20:0/21:0)	HMDB0118518			
CL(8:0/11:0/i-20:0/a-21:0)	HMDB0118519			
CL(8:0/11:0/i-20:0/i-21:0)	HMDB0118520			
CL(8:0/11:0/i-20:0/22:0)	HMDB0118521			
CL(8:0/11:0/i-20:0/i-22:0)	HMDB0118522			
CL(8:0/11:0/i-20:0/23:0)	HMDB0118523			
CL(8:0/11:0/i-20:0/24:0)	HMDB0118524			
CL(8:0/11:0/i-20:0/i-24:0)	HMDB0118525			
CL(8:0/11:0/i-20:0/25:0)	HMDB0118526			
CL(8:0/11:0/i-20:0/a-25:0)	HMDB0118527			
CL(8:0/11:0/21:0/21:0)	HMDB0118528			
CL(8:0/11:0/21:0/a-21:0)	HMDB0118529			
CL(8:0/11:0/21:0/i-21:0)	HMDB0118530			
CL(8:0/11:0/21:0/22:0)	HMDB0118531			
CL(8:0/11:0/21:0/i-22:0)	HMDB0118532			
CL(8:0/11:0/21:0/23:0)	HMDB0118533			
CL(8:0/11:0/21:0/24:0)	HMDB0118534			
CL(8:0/11:0/21:0/i-24:0)	HMDB0118535			
CL(8:0/11:0/21:0/25:0)	HMDB0118536			
CL(8:0/11:0/21:0/a-25:0)	HMDB0118537			
CL(8:0/11:0/a-21:0/a-21:0)	HMDB0118538			
CL(8:0/11:0/a-21:0/i-21:0)	HMDB0118539			
CL(8:0/11:0/a-21:0/22:0)	HMDB0118540			
CL(8:0/11:0/a-21:0/i-22:0)	HMDB0118541			
CL(8:0/11:0/a-21:0/23:0)	HMDB0118542			
CL(8:0/11:0/a-21:0/24:0)	HMDB0118543			
CL(8:0/11:0/a-21:0/i-24:0)	HMDB0118544			
CL(8:0/11:0/a-21:0/25:0)	HMDB0118545			
CL(8:0/11:0/a-21:0/a-25:0)	HMDB0118546			
CL(8:0/11:0/i-21:0/i-21:0)	HMDB0118547			
CL(8:0/11:0/i-21:0/22:0)	HMDB0118548			
CL(8:0/11:0/i-21:0/i-22:0)	HMDB0118549			
CL(8:0/11:0/i-21:0/23:0)	HMDB0118550			
CL(8:0/11:0/i-21:0/24:0)	HMDB0118551			
CL(8:0/11:0/i-21:0/i-24:0)	HMDB0118552			
CL(8:0/11:0/i-21:0/25:0)	HMDB0118553			
CL(8:0/11:0/i-21:0/a-25:0)	HMDB0118554			
CL(8:0/11:0/22:0/22:0)	HMDB0118555			
CL(8:0/11:0/22:0/i-22:0)	HMDB0118556			
CL(8:0/11:0/22:0/23:0)	HMDB0118557			
CL(8:0/11:0/22:0/24:0)	HMDB0118558			
CL(8:0/11:0/22:0/i-24:0)	HMDB0118559			
CL(8:0/11:0/22:0/25:0)	HMDB0118560			
CL(8:0/11:0/22:0/a-25:0)	HMDB0118561			
CL(8:0/11:0/i-22:0/i-22:0)	HMDB0118562			
CL(8:0/11:0/i-22:0/23:0)	HMDB0118563			
CL(8:0/11:0/i-22:0/24:0)	HMDB0118564			
CL(8:0/11:0/i-22:0/i-24:0)	HMDB0118565			
CL(8:0/11:0/i-22:0/25:0)	HMDB0118566			
CL(8:0/11:0/i-22:0/a-25:0)	HMDB0118567			
CL(8:0/11:0/23:0/23:0)	HMDB0118568			
CL(8:0/11:0/23:0/24:0)	HMDB0118569			
CL(8:0/11:0/23:0/i-24:0)	HMDB0118570			
CL(8:0/11:0/23:0/25:0)	HMDB0118571			
CL(8:0/11:0/23:0/a-25:0)	HMDB0118572			
CL(8:0/11:0/24:0/24:0)	HMDB0118573			
CL(8:0/11:0/24:0/i-24:0)	HMDB0118574			
CL(8:0/11:0/24:0/25:0)	HMDB0118575			
CL(8:0/11:0/24:0/a-25:0)	HMDB0118576			
CL(8:0/11:0/i-24:0/i-24:0)	HMDB0118577			
CL(8:0/11:0/i-24:0/25:0)	HMDB0118578			
CL(8:0/11:0/i-24:0/a-25:0)	HMDB0118579			
CL(8:0/11:0/25:0/25:0)	HMDB0118580			
CL(8:0/11:0/25:0/a-25:0)	HMDB0118581			
CL(8:0/11:0/a-25:0/a-25:0)	HMDB0118582			
CL(8:0/12:0/12:0/12:0)	HMDB0118583			
CL(8:0/12:0/12:0/i-12:0)	HMDB0118584			
CL(8:0/12:0/12:0/13:0)	HMDB0118585			
CL(8:0/12:0/12:0/a-13:0)	HMDB0118586			
CL(8:0/12:0/12:0/i-13:0)	HMDB0118587			
CL(8:0/12:0/12:0/14:0)	HMDB0118588			
CL(8:0/12:0/12:0/i-14:0)	HMDB0118589			
CL(8:0/12:0/12:0/15:0)	HMDB0118590			
CL(8:0/12:0/12:0/a-15:0)	HMDB0118591			
CL(8:0/12:0/12:0/i-15:0)	HMDB0118592			
CL(8:0/12:0/12:0/16:0)	HMDB0118593			
CL(8:0/12:0/12:0/i-16:0)	HMDB0118594			
CL(8:0/12:0/12:0/17:0)	HMDB0118595			
CL(8:0/12:0/12:0/a-17:0)	HMDB0118596			
CL(8:0/12:0/12:0/i-17:0)	HMDB0118597			
CL(8:0/12:0/12:0/18:0)	HMDB0118598			
CL(8:0/12:0/12:0/i-18:0)	HMDB0118599			
CL(8:0/12:0/12:0/18:2(9Z,11Z))	HMDB0118600			
CL(8:0/12:0/12:0/19:0)	HMDB0118601			
CL(8:0/12:0/12:0/i-19:0)	HMDB0118602			
CL(8:0/12:0/12:0/20:0)	HMDB0118603			
CL(8:0/12:0/12:0/i-20:0)	HMDB0118604			
CL(8:0/12:0/12:0/21:0)	HMDB0118605			
CL(8:0/12:0/12:0/a-21:0)	HMDB0118606			
CL(8:0/12:0/12:0/i-21:0)	HMDB0118607			
CL(8:0/12:0/12:0/22:0)	HMDB0118608			
CL(8:0/12:0/12:0/i-22:0)	HMDB0118609			
CL(8:0/12:0/12:0/23:0)	HMDB0118610			
CL(8:0/12:0/12:0/24:0)	HMDB0118611			
CL(8:0/12:0/12:0/i-24:0)	HMDB0118612			
CL(8:0/12:0/12:0/25:0)	HMDB0118613			
CL(8:0/12:0/12:0/a-25:0)	HMDB0118614			
CL(8:0/12:0/i-12:0/i-12:0)	HMDB0118615			
CL(8:0/12:0/i-12:0/13:0)	HMDB0118616			
CL(8:0/12:0/i-12:0/a-13:0)	HMDB0118617			
CL(8:0/12:0/i-12:0/i-13:0)	HMDB0118618			
CL(8:0/12:0/i-12:0/14:0)	HMDB0118619			
CL(8:0/12:0/i-12:0/i-14:0)	HMDB0118620			
CL(8:0/12:0/i-12:0/15:0)	HMDB0118621			
CL(8:0/12:0/i-12:0/a-15:0)	HMDB0118622			
CL(8:0/12:0/i-12:0/i-15:0)	HMDB0118623			
CL(8:0/12:0/i-12:0/16:0)	HMDB0118624			
CL(8:0/12:0/i-12:0/i-16:0)	HMDB0118625			
CL(8:0/12:0/i-12:0/17:0)	HMDB0118626			
CL(8:0/12:0/i-12:0/a-17:0)	HMDB0118627			
CL(8:0/12:0/i-12:0/i-17:0)	HMDB0118628			
CL(8:0/12:0/i-12:0/18:0)	HMDB0118629			
CL(8:0/12:0/i-12:0/i-18:0)	HMDB0118630			
CL(8:0/12:0/i-12:0/18:2(9Z,11Z))	HMDB0118631			
CL(8:0/12:0/i-12:0/19:0)	HMDB0118632			
